"bagian_kerja","bidang_kerja","lokasi","jenis_karyawan"
"PGTK1","GURU","Pacar","GURU"
"PGTK1","KEPALA SEKOLAH","Pacar","GURU"
"PGTK1","SUSTER","Pacar","KARYAWAN"
"PGTK1","WAKIL KEPALA SEKOLAH","Pacar","GURU"
"PGTK2","BIMBINGAN/KONSELING","Kupang Indah","GURU"
"PGTK2","GURU","Kupang Indah","GURU"
"PGTK2","KEPALA SEKOLAH","Kupang Indah","GURU"
"PGTK2","NON PEGAWAI","Kupang Indah","NON PEGAWAI"
"PGTK2","PERPUSTAKAAN","Kupang Indah","KARYAWAN"
"PGTK2","SUSTER","Kupang Indah","KARYAWAN"
"PGTK2","TATA USAHA","Kupang Indah","KARYAWAN"
"PGTK2","WAKIL KEPALA SEKOLAH","Kupang Indah","GURU"
"PGTK3","GURU","Pakuwon City","GURU"
"PGTK3","KEPALA SEKOLAH","Pakuwon City","GURU"
"PGTK3","NON PEGAWAI","Pakuwon City","NON PEGAWAI"
"PGTK3","PERPUSTAKAAN","Pakuwon City","KARYAWAN"
"PGTK3","SUSTER","Pakuwon City","KARYAWAN"
"PGTK3","TATA USAHA","Pakuwon City","KARYAWAN"
"PGTK3","WAKIL KEPALA SEKOLAH","Pakuwon City","GURU"
"SATPAM","SECURITY","Kupang Indah","KARYAWAN"
"SATPAM","SECURITY","Sukomanunggal","KARYAWAN"
"SD1","GURU","Pacar","GURU"
"SD1","KEPALA SEKOLAH","Pacar","GURU"
"SD1","NON PEGAWAI","Pacar","NON PEGAWAI"
"SD1","PERPUSTAKAAN","Pacar","KARYAWAN"
"SD1","TATA USAHA","Pacar","KARYAWAN"
"SD1","WAKIL KEPALA SEKOLAH","Pacar","GURU"
"SD2","BIMBINGAN/KONSELING","Kupang Indah","GURU"
"SD2","GURU","Kupang Indah","GURU"
"SD2","GURU","Kupang Indah","OUTSOURCING"
"SD2","KEPALA SEKOLAH","Kupang Indah","GURU"
"SD2","NON PEGAWAI","Kupang Indah","NON PEGAWAI"
"SD2","PERPUSTAKAAN","Kupang Indah","KARYAWAN"
"SD2","TATA USAHA","Kupang Indah","KARYAWAN"
"SD2","WAKIL KEPALA SEKOLAH","Kupang Indah","GURU"
"SD3","BIMBINGAN/KONSELING","Pakuwon City","GURU"
"SD3","GURU","Pakuwon City","GURU"
"SD3","KEPALA SEKOLAH","Pakuwon City","GURU"
"SD3","NON PEGAWAI","Pakuwon City","NON PEGAWAI"
"SD3","PERPUSTAKAAN","Pakuwon City","KARYAWAN"
"SD3","TATA USAHA","Pakuwon City","KARYAWAN"
"SD3","WAKIL KEPALA SEKOLAH","Pakuwon City","GURU"
"SD4","BIMBINGAN/KONSELING","Grand Pakuwon","GURU"
"SD4","GURU","Grand Pakuwon","GURU"
"SD4","GURU","Grand Pakuwon","OUTSOURCING"
"SD4","KEPALA SEKOLAH","Grand Pakuwon","GURU"
"SD4","TATA USAHA","Grand Pakuwon","KARYAWAN"
